Character attributes, sorted by character frequency
Character	Radical	Rad. nr.	Plus strokes	Total strokes	Rank	Freq. abs.	Freq. Rel.	Pronounc. nr.
的	白	106	3	8	1	50	0.0422	3	
了	亅	6	1	2	2	38	0.0321	2	
一	一	1	0	1	3	28	0.0236	1	
子	子	39	0	3	4	22	0.0186	2	
他	人	9	3	5	5	21	0.0177	1	
祥	示	113	6	11	6	19	0.0160	1	
着	目	109	6	11	6	19	0.0160	4	
是	日	72	5	9	7	18	0.0152	1	
先	儿	10	4	6	8	17	0.0144	1	
不	一	1	3	4	8	17	0.0144	3	
生	生	100	0	5	9	16	0.0135	1	
来	木	75	3	7	9	16	0.0135	2	
有	月	74	2	6	10	14	0.0118	2	
曹	曰	73	7	11	10	14	0.0118	1	
车	車	159	0	4	10	14	0.0118	2	
上	一	1	2	3	11	13	0.0110	1	
跑	足	157	5	12	12	11	0.0093	3	
出	凵	17	3	5	12	11	0.0093	1	
么	丿	4	2	3	12	11	0.0093	5	
你	人	9	5	7	13	10	0.0084	1	
没	水	85	4	7	13	10	0.0084	3	
儿	儿	10	0	2	13	10	0.0084	2	
到	刀	18	6	8	13	10	0.0084	1	
看	目	109	4	9	13	10	0.0084	2	
在	土	32	3	6	14	9	0.0076	1	
快	心	61	4	7	14	9	0.0076	1	
去	厶	28	3	5	14	9	0.0076	1	
起	走	156	3	10	15	8	0.0068	1	
把	手	64	4	7	15	8	0.0068	2	
这	辵	162	4	8	16	7	0.0059	2	
想	心	61	9	13	16	7	0.0059	1	
什	人	9	2	4	16	7	0.0059	2	
也	乙	5	2	3	16	7	0.0059	1	
块	土	32	4	7	16	7	0.0059	1	
她	女	38	3	6	16	7	0.0059	1	
得	彳	60	8	11	17	6	0.0051	3	
多	夕	36	3	6	17	6	0.0051	1	
自	自	132	0	6	17	6	0.0051	1	
那	邑	163	4	7	17	6	0.0051	8	
己	己	49	0	3	17	6	0.0051	1	
还	辵	162	4	8	17	6	0.0051	3	
又	又	29	0	2	17	6	0.0051	1	
已	己	49	0	3	17	6	0.0051	1	
坐	土	32	4	7	17	6	0.0051	1	
天	大	37	1	4	17	6	0.0051	1	
碴	石	112	9	14	17	6	0.0051	4	
两	一	1	6	7	17	6	0.0051	2	
人	人	9	0	2	17	6	0.0051	1	
太	大	37	1	4	18	5	0.0042	1	
风	風	182	0	4	18	5	0.0042	3	
开	廾	55	1	4	18	5	0.0042	1	
